class_id,seed,group,event_stage,probe_stage,family,alpha,relative_derivative_drift,direction_cosine,odd_curvature,component_robust_error,richardson_diagnostic_disagreement,legacy_L_pass,C_pass,D_source_ratio_within_reference,application_certified,R_pass,N_pass
123,107,attention_output_all_blocks,4,5,accumulated,0.0078125,0.009258483112329723,0.9999571462348733,0.012876836588255456,0.006019728194153394,0.012999043456942068,True,True,True,False,True,True
123,107,attention_output_all_blocks,4,5,accumulated,0.015625,0.0,1.0,0.007098737192062818,0.0,0.012999043456942068,True,True,True,False,True,True
123,107,attention_output_all_blocks,4,5,accumulated,0.03125,0.005094644742283379,0.9999870250633737,0.0038477288641160516,0.003009864097076697,0.012999043456942068,True,True,True,False,True,True
123,107,attention_output_all_blocks,4,5,donor,0.0078125,0.009028285883382578,0.999959254836542,0.012692121076045228,0.005504431978534903,0.01259751065235316,True,True,True,False,True,True
123,107,attention_output_all_blocks,4,5,donor,0.015625,0.0,1.0,0.006900912506988485,0.0,0.01259751065235316,True,True,True,False,True,True
123,107,attention_output_all_blocks,4,5,donor,0.03125,0.004856641089934926,0.999988214049444,0.003791622749425565,0.00300241744283722,0.01259751065235316,True,True,True,False,True,True
123,107,attention_output_all_blocks,4,5,isotropic,0.0078125,0.0079272344956798,0.9999685790785429,0.011184380410328373,0.004454603173995651,0.011087825150312824,True,True,True,False,True,True
123,107,attention_output_all_blocks,4,5,isotropic,0.015625,0.0,1.0,0.006061494596188931,0.0,0.011087825150312824,True,True,True,False,True,True
123,107,attention_output_all_blocks,4,5,isotropic,0.03125,0.004293673073434361,0.999990782315349,0.0034373977311758816,0.002722257495219564,0.011087825150312824,True,True,True,False,True,True
123,107,attention_output_all_blocks,10,11,actual_local,0.0078125,0.011068729744438349,0.9999387948525496,0.017200067986216455,0.00701616464485883,0.015456966048446376,True,True,True,False,True,True
123,107,attention_output_all_blocks,10,11,actual_local,0.015625,0.0,0.9999999999999999,0.008880944985099093,0.0,0.015456966048446376,True,True,True,False,True,True
123,107,attention_output_all_blocks,10,11,actual_local,0.03125,0.005807096275345908,0.9999831392541235,0.0047943578830197805,0.003758659631174373,0.015456966048446376,True,True,True,False,True,True
123,107,attention_output_all_blocks,10,11,accumulated,0.0078125,0.012090312508679176,0.999927076676207,0.016934763175835726,0.007527359734744887,0.016877093824026072,True,True,True,False,True,True
123,107,attention_output_all_blocks,10,11,accumulated,0.015625,0.0,0.9999999999999999,0.008944039124781877,0.0,0.016877093824026072,True,True,True,False,True,True
123,107,attention_output_all_blocks,10,11,accumulated,0.03125,0.005996267904941062,0.9999820244964492,0.004795779929966888,0.0037636798673724436,0.016877093824026072,True,True,True,False,True,True
123,107,attention_output_all_blocks,10,11,donor,0.0078125,0.009296596510966986,0.9999567870854966,0.013674187082687058,0.005684933134489577,0.012989556998084326,True,True,True,False,True,True
123,107,attention_output_all_blocks,10,11,donor,0.015625,0.0,1.0,0.007367924317893624,0.0,0.012989556998084326,True,True,True,False,True,True
123,107,attention_output_all_blocks,10,11,donor,0.03125,0.004933212129040568,0.9999878473771205,0.003930822644799874,0.003279769116051679,0.012989556998084326,True,True,True,False,True,True
123,107,attention_output_all_blocks,10,11,isotropic,0.0078125,0.007599873417363891,0.9999711207751565,0.011489924558742898,0.00467713390773163,0.010635198643838755,True,True,True,False,True,True
123,107,attention_output_all_blocks,10,11,isotropic,0.015625,0.0,1.0,0.006174632761171893,0.0,0.010635198643838755,True,True,True,False,True,True
